model,n,mse,rmse,mae,qlike
Regime-LSTM-B,788,4.50770396628416e-08,0.00021231354093142904,6.3503509747262e-05,0.21432477666769256
HAR-RV,788,2.8033841614909018e-08,0.00016743309593658304,6.716354053673203e-05,0.22603300455772476
RW-RV,788,2.8749838082455022e-08,0.0001695577721086681,6.964217216672461e-05,0.28598599573629613
EGARCH,788,4.091202255896776e-08,0.00020226720584159895,0.0001262677083625222,0.4436889783041359
GARCH,788,7.106068964083395e-08,0.00026657210964546526,0.0001469959474387984,0.4810036323403373
