method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
MC-Dropout-Regime-LSTM-B,0.95,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-3.419649778548196,,0.0006270180383392794,784,,0.025000000000000022,PICP 0.9757 (n=329) vs 0.9253 (n=455); z_iid=-3.093 p_iid=0.001978,0.0037621082300356764,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.36398014896073616,,0.7158728329825603,784,,0.025000000000000022,PICP 0.9342 (n=76) vs 0.9477 (n=708); z_iid=0.498 p_iid=0.6186,1.0,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.14016280593469022,,0.8885313583188703,784,,0.025000000000000022,PICP 0.9423 (n=52) vs 0.9467 (n=732); z_iid=0.137 p_iid=0.8914,1.0,7,True
MC-Dropout-LSTM,0.9,both,DQ incremental,regime,t-1 (implementable),5.299580277784223,2.0,0.07066604155818416,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=19.554 (df 7, p=0.006619) vs DQ_level+dynamics=14.254 (df 5, p=0.01407)",0.42399624934910496,7,True
MC-Dropout-LSTM,0.9,both,DQ incremental,transition,t-1 (implementable),0.24706594115058422,1.0,0.6191486578362472,780,transition_exante(t-1),0.09999999999999998,"DQ_full=14.501 (df 6, p=0.02451) vs DQ_level+dynamics=14.254 (df 5, p=0.01407)",1.0,7,True
MC-Dropout-LSTM,0.9,both,DQ incremental,width,t-1 (implementable),0.17665623300551125,1.0,0.674262709892814,780,log_interval_width,0.09999999999999998,"DQ_full=14.431 (df 6, p=0.02518) vs DQ_level+dynamics=14.254 (df 5, p=0.01407)",1.0,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.6083882414626098,,0.10775017531958056,784,,0.09999999999999998,PICP 0.8443 (n=379) vs 0.8840 (n=405); z_iid=1.621 p_iid=0.1049,0.5387508765979028,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.9334611746506851,,0.05317941149307634,784,,0.09999999999999998,PICP 0.8936 (n=329) vs 0.8440 (n=455); z_iid=-2.007 p_iid=0.04477,0.37225588045153435,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.49498669255526906,,0.6206095140570049,784,,0.09999999999999998,PICP 0.8421 (n=76) vs 0.8672 (n=708); z_iid=0.609 p_iid=0.5427,1.0,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,-0.4824332067292518,,0.6294982364290052,784,,0.09999999999999998,PICP 0.8846 (n=52) vs 0.8634 (n=732); z_iid=-0.433 p_iid=0.6653,1.0,7,True
MC-Dropout-LSTM,0.9,upper,DQ incremental,regime,t-1 (implementable),13.726363289312687,2.0,0.0010455819645989709,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=44.041 (df 7, p=2.098e-07) vs DQ_level+dynamics=30.315 (df 5, p=1.279e-05)",0.006273491787593825,7,True
MC-Dropout-LSTM,0.9,upper,DQ incremental,transition,t-1 (implementable),0.06724742920076565,1.0,0.7953875061666787,780,transition_exante(t-1),0.04999999999999999,"DQ_full=30.382 (df 6, p=3.325e-05) vs DQ_level+dynamics=30.315 (df 5, p=1.279e-05)",1.0,7,True
MC-Dropout-LSTM,0.9,upper,DQ incremental,width,t-1 (implementable),4.512922074414483,1.0,0.03363972435549378,780,log_interval_width,0.04999999999999999,"DQ_full=34.828 (df 6, p=4.654e-06) vs DQ_level+dynamics=30.315 (df 5, p=1.279e-05)",0.13455889742197513,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.8903341437546906,,0.0038483253915186323,784,,0.04999999999999999,PICP 0.8945 (n=379) vs 0.9481 (n=405); z_iid=2.805 p_iid=0.005039,0.019241626957593162,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-3.3929803368935993,,0.0006913660084561608,784,,0.04999999999999999,PICP 0.9574 (n=329) vs 0.8967 (n=455); z_iid=-3.133 p_iid=0.001727,0.004839562059193126,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.32316774302333356,,0.7465682086393493,784,,0.04999999999999999,PICP 0.9079 (n=76) vs 0.9237 (n=708); z_iid=0.490 p_iid=0.6243,1.0,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,-0.026406731452550618,,0.9789329251007175,784,,0.04999999999999999,PICP 0.9231 (n=52) vs 0.9221 (n=732); z_iid=-0.025 p_iid=0.9804,1.0,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,regime,t-1 (implementable),11.313676830467951,2.0,0.0034935445938960937,780,"regime_transitional(t-1), regime_crisis(t-1)",0.050000000000000044,"DQ_full=36.144 (df 7, p=6.81e-06) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",0.024454812157272656,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,transition,t-1 (implementable),0.43519493794971,1.0,0.509450818956671,780,transition_exante(t-1),0.050000000000000044,"DQ_full=25.265 (df 6, p=0.0003049) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,width,t-1 (implementable),0.9365409154095623,1.0,0.33316902023808226,780,log_interval_width,0.050000000000000044,"DQ_full=25.767 (df 6, p=0.0002461) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.037089296171255,,0.04164109434808636,784,,0.050000000000000044,PICP 0.8971 (n=379) vs 0.9407 (n=405); z_iid=2.246 p_iid=0.02468,0.2082054717404318,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.625203125290838,,0.00865972889776109,784,,0.050000000000000044,PICP 0.9514 (n=329) vs 0.8967 (n=455); z_iid=-2.779 p_iid=0.005459,0.05195837338656654,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.5405499358830302,,0.5888178331736105,784,,0.050000000000000044,PICP 0.8947 (n=76) vs 0.9223 (n=708); z_iid=0.840 p_iid=0.4006,1.0,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.4205550287877407,,0.6740800383759729,784,,0.050000000000000044,PICP 0.9038 (n=52) vs 0.9208 (n=732); z_iid=0.434 p_iid=0.6645,1.0,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,regime,t-1 (implementable),23.51468272130453,2.0,7.831618528890724e-06,780,"regime_transitional(t-1), regime_crisis(t-1)",0.025000000000000022,"DQ_full=70.602 (df 7, p=1.117e-12) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",5.4821329702235066e-05,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,transition,t-1 (implementable),0.03692624601989536,1.0,0.8476152867477957,780,transition_exante(t-1),0.025000000000000022,"DQ_full=47.124 (df 6, p=1.768e-08) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",1.0,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,width,t-1 (implementable),2.6302081749460413,1.0,0.10484796566933065,780,log_interval_width,0.025000000000000022,"DQ_full=49.717 (df 6, p=5.357e-09) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.4193918626773226,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.286486520799936,,0.022225811800581398,784,,0.025000000000000022,PICP 0.9235 (n=379) vs 0.9654 (n=405); z_iid=2.578 p_iid=0.009937,0.11112905900290698,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-3.5601589071139275,,0.0003706304453044639,784,,0.025000000000000022,PICP 0.9787 (n=329) vs 0.9209 (n=455); z_iid=-3.511 p_iid=0.0004471,0.0022237826718267835,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.8436579975658763,,0.3988605449670939,784,,0.025000000000000022,PICP 0.9079 (n=76) vs 0.9492 (n=708); z_iid=1.501 p_iid=0.1333,1.0,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.09777232726719948,,0.9221130817187588,784,,0.025000000000000022,PICP 0.9423 (n=52) vs 0.9454 (n=732); z_iid=0.093 p_iid=0.9257,1.0,7,True
LSTM-Gaussian,0.9,both,DQ incremental,regime,t-1 (implementable),5.807705976715969,2.0,0.05481162413020209,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=21.451 (df 7, p=0.003157) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",0.32886974478121256,7,True
